3P4W	Hz=60	MD=15	SEC=300	CT=1	VT=1	INPUT=V1
      DATE	      TIME	       V12	       V23	       V31	        V1	        V2	        V3	        I1	        I2	        I3	        P1	        P2	        P3	        S1	        S2	        S3	        Q1	        Q2	        Q3	       PF1	       PF2	       PF3	    Phase1	    Phase2	    Phase3	     W_SYS	    VA_SYS	   VAR_SYS	    PF_SYS	    WH_SYS	   VAH_SYS	  VARH_SYS	   PFH_SYS	     W(AD)	    VA(AD)	     W(MD)	    VA(MD)
2012-09-25	  16:53:08	    467.6V	    468.0V	    466.7V	    269.8V	    270.2V	    269.7V	    100.3A	    100.8A	    098.0A	   017.0KW	   016.2KW	   016.2KW	  027.0KVA	  027.1KVA	  026.4KVA	-020.9KVAR	-021.7KVAR	-020.8KVAR	      0,63	      0,59	      0,61	    -050,7	    -053,5	    -052,1	   049.4KW	  080.3KVA	-063.4KVAR	      0,61	  041.7KWH	 073.8KVAH	060.9KVARH	     0,56H	   042.0KW	  074.9KVA	   044.1KW	  076.5KVA	
2012-09-25	  16:58:08	    466.7V	    467.8V	    465.6V	    269.0V	    270.2V	    269.2V	    106.3A	    106.2A	    102.7A	   018.2KW	   017.0KW	   017.2KW	  028.6KVA	  028.7KVA	  027.6KVA	-022.0KVAR	-023.0KVAR	-021.6KVAR	      0,63	      0,59	      0,62	    -050,6	    -053,4	    -051,7	   052.4KW	  084.7KVA	-066.6KVAR	      0,61	  046.1KWH	 080.9KVAH	066.4KVARH	     0,57H	   042.0KW	  074.9KVA	   044.1KW	  076.5KVA	
2012-09-25	  17:03:08	    468.0V	    469.3V	    467.1V	    269.8V	    270.7V	    270.4V	    103.3A	    103.4A	    102.4A	   017.3KW	   016.6KW	   016.9KW	  027.8KVA	  028.0KVA	  027.6KVA	-021.7KVAR	-022.4KVAR	-021.7KVAR	      0,62	      0,59	      0,61	    -051,6	    -053,5	    -052,1	   050.8KW	  083.2KVA	-065.9KVAR	      0,61	  050.3KWH	 087.8KVAH	071.9KVARH	     0,57H	   042.0KW	  074.9KVA	   044.1KW	  076.5KVA	
2012-09-25	  17:08:08	    469.4V	    469.7V	    467.4V	    270.2V	    271.3V	    270.6V	    090.0A	    091.2A	    087.8A	   012.7KW	   011.9KW	   011.9KW	  024.2KVA	  024.7KVA	  023.8KVA	-020.5KVAR	-021.6KVAR	-020.5KVAR	      0,52	      0,48	      0,50	    -058,5	    -061,2	    -059,8	   036.5KW	  072.5KVA	-062.6KVAR	      0,50	  053.4KWH	 093.9KVAH	077.1KVARH	     0,56H	   046.6KW	  080.1KVA	   046.6KW	  080.1KVA	
2012-09-25	  17:13:08	    469.1V	    469.1V	    468.1V	    270.3V	    271.1V	    270.6V	    099.8A	    100.9A	    098.0A	   017.2KW	   016.3KW	   016.3KW	  026.9KVA	  027.2KVA	  026.5KVA	-020.6KVAR	-021.7KVAR	-020.9KVAR	      0,63	      0,59	      0,61	    -050,3	    -053,1	    -052,3	   049.8KW	  080.4KVA	-063.2KVAR	      0,61	  057.5KWH	 100.6KVAH	082.4KVARH	     0,57H	   046.6KW	  080.1KVA	   046.6KW	  080.1KVA	
2012-09-25	  17:18:08	    468.5V	    468.6V	    467.4V	    270.1V	    270.7V	    270.2V	    100.6A	    101.4A	    098.5A	   016.9KW	   016.2KW	   016.1KW	  027.1KVA	  027.4KVA	  026.5KVA	-021.1KVAR	-022.0KVAR	-021.0KVAR	      0,62	      0,59	      0,60	    -051,0	    -053,8	    -052,4	   049.2KW	  080.8KVA	-064.1KVAR	      0,60	  061.6KWH	 107.3KVAH	087.8KVARH	     0,57H	   046.6KW	  080.1KVA	   046.6KW	  080.1KVA	
2012-09-25	  17:23:08	    469.8V	    469.8V	    468.2V	    270.6V	    271.4V	    270.9V	    101.5A	    102.4A	    099.5A	   017.2KW	   016.3KW	   016.3KW	  027.4KVA	  027.7KVA	  026.9KVA	-021.2KVAR	-022.3KVAR	-021.2KVAR	      0,62	      0,58	      0,60	    -051,5	    -054,1	    -052,7	   049.8KW	  081.7KVA	-064.8KVAR	      0,60	  065.8KWH	 114.1KVAH	093.2KVARH	     0,57H	   049.6KW	  081.0KVA	   049.6KW	  081.0KVA	
2012-09-25	  17:28:08	    469.2V	    469.2V	    468.6V	    270.6V	    271.2V	    270.6V	    103.4A	    103.8A	    100.7A	   017.4KW	   016.4KW	   016.6KW	  028.0KVA	  028.1KVA	  027.2KVA	-021.8KVAR	-022.7KVAR	-021.6KVAR	      0,62	      0,58	      0,60	    -051,5	    -053,9	    -052,7	   050.4KW	  083.0KVA	-066.1KVAR	      0,60	  070.0KWH	 121.0KVAH	098.7KVARH	     0,57H	   049.6KW	  081.0KVA	   049.6KW	  081.0KVA	
2012-09-25	  17:33:08	    469.5V	    470.2V	    469.0V	    271.0V	    271.5V	    270.9V	    089.6A	    090.0A	    087.4A	   012.4KW	   011.4KW	   011.8KW	  024.2KVA	  024.4KVA	  023.6KVA	-020.8KVAR	-021.5KVAR	-020.4KVAR	      0,51	      0,46	      0,49	    -059,2	    -061,8	    -059,9	   035.5KW	  072.0KVA	-062.6KVAR	      0,49	  072.9KWH	 127.0KVAH	103.9KVARH	     0,57H	   049.6KW	  081.0KVA	   049.6KW	  081.0KVA	
2012-09-25	  17:38:08	    469.5V	    469.4V	    468.6V	    270.6V	    271.3V	    270.8V	    104.4A	    102.2A	    103.0A	   016.3KW	   015.7KW	   016.3KW	  028.2KVA	  027.7KVA	  027.8KVA	-022.9KVAR	-022.8KVAR	-022.4KVAR	      0,57	      0,56	      0,58	    -054,7	    -055,4	    -054,5	   048.4KW	  083.5KVA	-068.2KVAR	      0,57	  077.0KWH	 134.0KVAH	109.6KVARH	     0,57H	   044.8KW	  079.5KVA	   049.6KW	  081.0KVA	
